startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,locationlatitude,locationlongitude,userlanguage,q1,q31,q36_1,q4,q5,q8,q33_1,q33_2,q33_3,q33_4,q33_5,q33_6,q9,q10,q11,q7,q12,q14,q15,q32,q21,q22,q23,q24,q25,q26,q27,q34,q35
11/29/2023 14:49,11/29/2023 14:50,0,104.182.188.245,100,15,1,11/29/2023 14:50,R_28NFdBadfHx2AQP,28.315901,-80.729202,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2023 9:28,11/27/2023 9:34,0,104.183.234.58,100,371,1,11/27/2023 9:34,R_2YXQB2PKHEFxyTy,26.027599,-80.2528,ES,1,1,6,6,3,7,6,3,1,4,2,5,1,2,1,2,1,7:30,12:30,5,1,2,2,5,4,4,2,1,5
11/27/2023 12:56,11/27/2023 12:59,0,104.183.239.227,100,167,1,11/27/2023 12:59,R_3pshiddskBQ6NyT,25.8906,-80.178398,EN,1,1,43,2,6,2,2,3,1,6,4,5,1,3,1,2,2,8,6,5,1,5,1,8,7,1,2,2,5
11/27/2023 9:54,11/27/2023 9:59,0,104.184.250.128,100,287,1,11/27/2023 9:59,R_3M6hsoGYNohFhRO,26.027599,-80.2528,EN,1,1,6,1,"3,5",8,5,3,1,4,2,6,1,1,1,2,1,9,5,4,1,1,1,8,7,2,2,2,5
11/29/2023 21:19,11/29/2023 21:19,0,104.184.254.83,100,28,1,11/29/2023 21:19,R_3KNhBYFv3GsdY6R,25.758801,-80.196297,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2023 13:46,11/27/2023 14:46,0,104.189.111.166,100,3641,1,11/27/2023 14:46,R_2ANBgHNUyuPrHFT,26.5991,-80.128403,ES,1,1,50,2,7,"4,5",5,4,1,6,2,3,1,2,1,6,3,7h,5h,6,1,3,1,1,5,1,1,2,3
12/5/2023 6:02,12/5/2023 6:07,0,104.2.92.99,100,314,1,12/5/2023 6:07,R_1mjXn3JN93NvPDP,30.4863,-87.182899,EN,1,1,16,3,5,"2,10",5,2,4,3,1,6,1,1,1,2,2,8,2,4,1,1,1,8,6,4,2,2,5
12/5/2023 9:16,12/5/2023 9:19,0,104.203.168.52,100,155,1,12/5/2023 9:19,R_cwpIAhz3eRNsZFf,27.260599,-80.477097,EN,1,1,56,1,3,7,3,2,1,5,4,6,1,1,1,2,2,8,5,6,1,1,1,4,6,4,2,2,5
12/1/2023 10:56,12/1/2023 11:00,0,104.223.91.19,100,288,1,12/1/2023 11:00,R_1Lu0sF0YjpvfMQd,33.748501,-84.3871,EN,1,1,5,1,5,10,3,4,2,5,1,6,1,1,1,4,2,7:30,6:00,4,1,1,1,4,6,2,2,2,5
11/27/2023 17:36,11/27/2023 17:40,0,104.244.119.184,100,201,1,11/27/2023 17:40,R_3PRbgOw9kSpicig,27.3657,-82.188301,EN,1,1,40,4,5,"2,4,7",4,3,1,5,2,6,1,1,1,2,4,8,3,4,1,1,1,8,6,1,2,2,5
12/5/2023 6:27,12/5/2023 6:27,0,104.28.110.96,100,10,1,12/5/2023 6:27,R_3kB1XGVsYQ73lM4,40.712299,-74.006798,ES,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 7:19,12/1/2023 7:19,0,104.28.132.126,12,15,0,12/8/2023 7:19,R_YSsw2k66OUq6ZQ5,,,EN,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2023 13:38,11/27/2023 18:10,0,104.28.32.149,100,16323,1,11/27/2023 18:10,R_2CqgVMhrWDQj11F,33.444302,-86.753601,EN,1,1,40,1,1,8,2,1,3,4,5,6,1,2,3,2,1,8,3,4,1,1,1,7,6,1,2,2,5
12/1/2023 0:05,12/1/2023 0:06,0,104.28.32.165,100,74,1,12/1/2023 0:06,R_9HVr74kOM5NHeBX,41.678299,-86.248703,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2023 13:56,11/29/2023 14:05,0,104.28.32.191,100,533,1,11/29/2023 14:05,R_2xAiuGaNDJfWbx7,33.748501,-84.3871,EN,1,1,52,2,6,7,6,3,1,4,2,5,1,5,1,2,2,8,3,4,1,1,1,8,6,4,2,2,5
11/29/2023 11:46,11/29/2023 11:49,0,104.28.32.197,100,175,1,11/29/2023 11:49,R_3ReXKzMuZkEJb8T,33.862099,-84.4198,EN,1,1,51,5,6,"1,4,12,11",1,3,2,4,5,6,1,3,1,2,2,5,6,3,3,1,1,1,3,3,2,1,5
12/6/2023 10:41,12/6/2023 10:41,0,104.28.32.204,100,17,1,12/6/2023 10:41,R_2rl4rGYs3R2yPpg,30.3064,-90.942703,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2023 9:25,11/27/2023 9:28,0,104.28.32.227,100,179,1,11/27/2023 9:28,R_2YQU18fE4Wnr3Oe,35.231602,-80.842796,EN,1,1,59,1,1,10,5,1,3,4,2,6,1,3,1,6,1,8,2,4,1,1,1,8,7,4,2,2,5
11/29/2023 15:19,11/29/2023 15:24,0,104.28.32.243,100,248,1,11/29/2023 15:24,R_3pg0MvCUjgX4cHM,30.419901,-87.217003,EN,1,1,16,3,5,11,6,1,2,4,3,5,1,1,1,2,2,8,5,4,3,1,1,4,3,1,2,2,3
11/29/2023 13:41,11/29/2023 13:44,0,104.28.32.245,100,168,1,11/29/2023 13:44,R_3I64QCK3w2eRAHI,30.334101,-81.654404,EN,1,1,15,3,7,"12,11",1,2,3,4,5,6,1,2,1,2,2,8,2,1,1,1,1,5,4,2,2,2,5
11/29/2023 17:28,11/29/2023 17:34,0,104.28.32.246,100,372,1,11/29/2023 17:34,R_8r0bwlCS9XKuh5T,30.334101,-81.654404,EN,1,1,10,5,"2,3","1,11",1,2,5,4,3,6,1,3,1,2,3,6:00am,7:00pm,4,1,1,1,6,3,1,2,2,3
12/1/2023 9:05,12/1/2023 9:05,0,104.28.33.10,100,9,1,12/1/2023 9:05,R_UxyWw1Obm3TteSd,27.0476,-82.237701,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2023 13:35,11/29/2023 16:06,0,104.28.33.2,12,181885,0,12/6/2023 16:06,R_svQQiuMnN2MEZGx,,,EN,1,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2023 6:52,11/28/2023 6:55,0,104.28.39.130,100,140,1,11/28/2023 6:55,R_2ccFa4hlwOxTq9T,41.824402,-71.407997,EN,1,1,64,1,7,8,6,2,1,4,3,5,1,6,1,2,1,8,6,4,1,1,1,8,7,1,2,2,5
12/4/2023 19:23,12/4/2023 19:24,0,104.28.39.142,100,25,1,12/4/2023 19:24,R_1dsnBKG7lFpPqw0,33.8895,-84.292099,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 11:23,12/1/2023 11:29,0,104.28.50.84,100,396,1,12/1/2023 11:29,R_1rcSXZMhZcxFoet,30.3608,-91.091698,EN,1,1,57,3,6,2,6,1,2,5,3,4,1,2,1,2,1,8,2:30,4,1,1,1,3,3,4,1,2,5
12/6/2023 17:00,12/6/2023 17:02,0,104.28.50.99,100,127,1,12/6/2023 17:02,R_2rwti1vsKBObeHY,35.149899,-90.055801,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2023 17:30,11/27/2023 17:32,0,104.28.57.239,100,161,1,11/27/2023 17:32,R_3qeNTzE3iYoEKcd,28.5588,-81.349503,EN,1,1,8,3,6,11,1,4,3,5,2,6,1,2,1,1,3,7,6,6,3,1,1,5,5,2,2,2,5
11/27/2023 9:22,11/27/2023 9:27,0,104.28.57.240,100,286,1,11/27/2023 9:27,R_3DhmfPuZhqSsGAS,25.9585,-80.1381,EN,1,1,5,2,7,11,2,1,3,4,5,6,1,5,1,2,2,8,3,5,1,1,2,8,7,5,2,2,5
12/4/2023 12:25,12/4/2023 12:26,0,104.28.57.243,100,25,1,12/4/2023 12:26,R_1hLs9iIMI6HBBpb,25.9524,-80.218399,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 9:31,12/1/2023 9:35,0,104.28.57.244,100,237,1,12/1/2023 9:35,R_5paGrvkJAq53HP3,25.850201,-80.236702,EN,1,1,6,1,3,9,2,3,1,4,5,6,1,1,1,2,2,8,5-Apr,4,1,1,1,9,4,6,2,3,7
11/29/2023 10:52,11/29/2023 10:52,0,104.28.57.245,100,19,1,11/29/2023 10:52,R_1mRaNSD0xrfP8Mq,27.867201,-82.350304,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 11:25,12/1/2023 11:29,0,104.28.57.246,100,257,1,12/1/2023 11:29,R_1rxiHxdN0vfBsvz,25.853201,-80.179703,EN,1,1,10,3,7,11,4,1,3,6,2,5,1,1,1,2,2,7,5,5,1,1,1,1,3,4,2,2,5
11/28/2023 11:04,11/28/2023 11:12,0,104.28.57.249,100,524,1,11/28/2023 11:12,R_1mqtyhbClIvDl8Z,39.771999,-86.156998,EN,1,1,15,5,6,"1,4,7,9,10",1,5,2,4,3,6,1,2,3,2,1,7,7,6,4,1,1,1,4,3,1,1,"5,6"
11/30/2023 8:20,11/30/2023 8:21,0,104.28.77.144,100,45,1,11/30/2023 8:21,R_C9qZjv7fsGJRveV,38.892101,-77.252197,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2023 18:36,11/27/2023 18:40,0,104.28.77.21,76,265,0,12/4/2023 18:40,R_2CJMPaofQhOW35E,,,EN,1,1,11,2,7,10,6,1,2,4,3,5,1,2,1,2,3,8,5,3,1,3,2,,,,,,
12/5/2023 10:33,12/5/2023 10:36,0,104.28.92.168,100,175,1,12/5/2023 10:36,R_2ScvTXznS2Pidt4,26.5355,-80.109802,EN,1,1,56,4,5,12,5,1,2,4,3,6,1,6,1,2,1,6,6,5,1,1,1,8,7,4,2,2,3
12/1/2023 7:14,12/1/2023 7:19,0,104.28.92.169,100,275,1,12/1/2023 7:19,R_3IQUZg1xHrYNY7m,26.5355,-80.109802,EN,1,1,50,4,5,3,3,4,2,1,5,6,1,5,2,2,2,7:30,5:30,4,1,1,1,7,6,1,2,2,3
11/29/2023 19:06,11/29/2023 19:13,0,104.28.92.178,100,459,1,11/29/2023 19:13,R_SVmUf5K2y5xc7IJ,30.2183,-81.562103,EN,1,1,15,3,5,10,4,2,3,5,1,6,1,5,1,2,2,8:45,4,4,1,1,1,7,7,1,2,2,5
12/1/2023 9:45,12/1/2023 9:50,0,104.28.92.187,100,261,1,12/1/2023 9:50,R_3Dtf4bIn6KYvu8m,28.530001,-81.480698,EN,1,1,15,5,6,"1,2,3,4,12,11,7,9",1,4,2,5,3,6,1,1,3,2,1,7,7,6,4,1,1,1,4,3,1,1,"5,6"
12/1/2023 16:40,12/1/2023 16:40,0,104.28.92.190,100,24,1,12/1/2023 16:40,R_1pxNxnKTEg0v9zK,28.5436,-81.373802,ES,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2023 19:34,11/27/2023 19:39,0,104.28.92.202,100,325,1,11/27/2023 19:39,R_un2I2xgPx6obeO5,25.7838,-80.182297,EN,1,1,6,3,7,"7,10",1,2,5,4,3,6,1,2,1,2,2,8,6,2,3,3,1,7,4,1,1,1,3
11/30/2023 7:36,11/30/2023 7:40,0,104.28.92.203,100,219,1,11/30/2023 7:40,R_bQHiLu1oUgcDQFX,25.9289,-80.182701,EN,1,1,6,5,6,"1,2,4,11",2,3,1,5,4,6,1,3,1,2,1,7,5,4,2,1,2,6,4,1,1,1,6
11/29/2023 15:13,11/29/2023 15:18,0,104.28.92.204,100,315,1,11/29/2023 15:18,R_28IZIZguJxlDhPQ,25.784599,-80.233002,EN,1,1,6,4,7,10,4,5,1,3,2,6,1,5,5,2,3,7:00,4:00,3,1,2,1,9,5,1,2,1,5
12/1/2023 8:27,12/1/2023 8:33,0,104.28.92.205,100,342,1,12/1/2023 8:33,R_9mHIeRDIqoDwDsJ,25.7689,-80.194603,EN,1,1,28,5,6,"1,2,4,9",1,4,3,5,2,6,1,1,1,2,2,7,6,4,4,1,1,4,4,1,2,3,7
12/5/2023 6:18,12/5/2023 6:20,0,104.28.92.206,100,140,1,12/5/2023 6:20,R_2QYDvuHjRTPNZc9,25.8799,-80.336403,EN,1,1,8,3,6,11,2,1,3,4,5,6,1,4,1,2,3,7,6,6,3,1,1,6,3,3,2,2,5
12/5/2023 6:55,12/5/2023 7:00,0,104.28.92.207,100,330,1,12/5/2023 7:00,R_0rfYvQoeKev2gnf,25.8799,-80.336403,EN,1,1,6,4,5,8,3,4,1,5,2,6,1,4,3,2,1,9,3,4,1,1,1,8,6,4,2,2,5
11/27/2023 14:56,11/27/2023 15:00,0,104.28.92.226,100,206,1,11/27/2023 15:00,R_2VyWNlyS7CEqAze,27.945499,-82.459801,EN,1,1,51,6,6,"12,11",4,6,2,3,1,5,1,4,1,2,3,7,6,4,1,2,1,9,6,1,2,1,5
11/27/2023 13:04,11/27/2023 13:10,0,104.28.92.229,100,374,1,11/27/2023 13:10,R_UPDOQYcqBesOKS5,28.0117,-82.582001,EN,1,1,28,5,3,"12,11",4,3,2,5,1,6,2,1,1,1,2,8:00,2,4,3,2,1,2,4,3,2,1,6
12/4/2023 19:50,12/4/2023 19:50,0,104.28.92.233,100,5,1,12/4/2023 19:50,R_30bH73bvSZlAxRE,27.333799,-82.5289,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023 5:56,12/4/2023 5:57,0,104.28.94.164,100,21,1,12/4/2023 5:57,R_1r2HKMp7OTC7MMw,29.0693,-82.214302,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/2023 11:21,12/5/2023 11:26,0,104.28.94.168,100,277,1,12/5/2023 11:26,R_00MWEhF0QqFFGAp,25.811701,-80.206703,ES,1,1,48,4,5,10,2,1,3,4,5,6,1,2,1,2,2,7:00 AM,6:00 PM,4,1,2,3,5,7,1,2,1,5
11/27/2023 9:54,11/27/2023 9:54,0,104.28.94.169,100,24,1,11/27/2023 9:54,R_2OIOFLvM3JvVdGM,26.6113,-80.174301,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/2023 17:15,12/5/2023 17:15,0,104.28.94.178,100,18,1,12/5/2023 17:15,R_3Gy5PU6JzkHl2D2,30.334101,-81.654404,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 9:44,12/1/2023 9:47,0,104.28.94.185,100,197,1,12/1/2023 9:47,R_3sjjGZv1DX6oi9k,28.0366,-80.580803,EN,1,1,56,3,"5,7",7,5,4,2,3,1,6,1,4,1,2,3,8:00,3:00,5,1,1,1,8,6,4,2,1,3
12/5/2023 13:02,12/5/2023 13:07,0,104.28.94.188,100,259,1,12/5/2023 13:07,R_3phxcQfV7ULNJEv,28.5436,-81.373802,EN,1,1,53,3,6,"2,12,11",2,1,3,4,5,6,1,2,3,2,2,8,5,4,2,1,1,4,4,4,2,1,5
11/27/2023 10:05,11/27/2023 10:06,0,104.28.94.190,20,55,0,12/4/2023 10:06,R_ZD14Wi25uKy5Tih,,,EN,1,1,48,3,7,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023 14:55,12/4/2023 15:24,0,104.28.94.222,100,1714,1,12/4/2023 15:24,R_27D1Qx2I3tgWhI8,28.0147,-81.736504,EN,1,1,53,3,5,"4,12",5,2,1,4,3,6,1,3,1,2,2,8,3,4,1,1,1,8,6,1,2,1,6
12/1/2023 10:42,12/1/2023 10:48,0,104.28.94.224,100,390,1,12/1/2023 10:48,R_2SGebuvEubQ8j69,27.7691,-82.675903,EN,1,1,51,3,6,"4,12,11,7,9",2,5,1,4,3,6,1,3,3,2,2,7,6,5,1,1,1,6,5,2,2,2,5
11/27/2023 9:33,11/27/2023 9:43,0,104.28.94.226,100,575,1,11/27/2023 9:43,R_3O6Oa7Y55bCpEj9,27.945499,-82.459801,EN,1,1,51,2,6,8,6,3,1,4,2,5,1,1,1,2,1,600,6,5,1,1,1,9,7,1,2,2,3
11/27/2023 10:24,11/27/2023 10:27,0,104.28.94.227,100,161,1,11/27/2023 10:27,R_eOEvJGqbzrGYiLT,27.945499,-82.459801,EN,1,1,28,3,6,"1,4",3,4,1,5,2,6,1,1,3,2,2,6,10,4,3,1,1,4,5,1,2,2,"3,5"
11/29/2023 13:10,11/29/2023 13:10,0,104.49.178.99,100,21,1,11/29/2023 13:10,R_vH0q9OjSGk9tDhv,28.9025,-81.248001,ES,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2023 3:01,11/28/2023 3:04,0,104.49.254.52,100,155,1,11/28/2023 3:04,R_3qNGW3CYrwKS5zg,26.179199,-80.174896,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/2023 6:24,12/7/2023 6:28,0,104.5.92.167,100,228,1,12/7/2023 6:28,R_3saC0lGsB45pwBH,26.654301,-80.125603,EN,1,1,50,6,6,10,4,3,2,5,1,6,1,4,1,2,2,7,3,5,1,1,1,5,6,1,2,1,6
11/30/2023 6:01,11/30/2023 6:56,0,104.5.92.224,100,3284,1,11/30/2023 6:56,R_3fK6GuEgvKhctz9,26.7173,-80.124702,EN,1,1,50,2,6,"3,4,5,12",2,3,1,5,4,6,1,1,1,2,3,8,5,4,1,3,3,1,2,1,2,3,3
12/5/2023 18:49,12/5/2023 18:50,0,104.51.180.77,100,110,1,12/5/2023 18:50,R_1FLfhTsRs9xFubY,28.4932,-81.287804,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/2023 12:51,12/5/2023 12:51,0,104.54.111.177,100,21,1,12/5/2023 12:51,R_31EFd0i4HUtATY4,26.5226,-80.059998,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/2023 7:58,12/5/2023 7:58,0,104.62.54.144,100,15,1,12/5/2023 7:58,R_1IitKllviFAwyWA,26.379601,-80.102898,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/2023 8:03,12/5/2023 8:03,0,107.115.108.41,100,9,1,12/5/2023 8:03,R_3j8sqxMM2hJ9sXl,30.288401,-81.636101,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 10:52,12/1/2023 10:52,0,107.115.108.46,100,40,1,12/1/2023 10:52,R_ulgWKV1fAU6PArv,30.288401,-81.636101,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023 6:26,12/4/2023 6:33,0,107.115.159.18,100,405,1,12/4/2023 6:33,R_78KVnU6VkxpdLy1,33.938801,-84.275398,ES,1,1,15,3,6,11,1,2,3,4,5,6,1,4,1,2,2,7,6,3,1,2,3,5,4,1,2,1,5
11/27/2023 20:28,11/27/2023 20:30,0,107.115.159.33,20,135,0,12/4/2023 20:30,R_Xpwo0ly3v9kcugF,,,EN,1,1,36,6,6,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 12:58,12/1/2023 12:58,0,107.115.159.38,100,9,1,12/1/2023 12:58,R_27KBDiu4WxiJMn3,33.938801,-84.275398,ES,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 4:41,12/1/2023 4:48,0,107.115.159.54,100,397,1,12/1/2023 4:48,R_01BWF5dTXKwm6aJ,33.938801,-84.275398,EN,1,1,41,4,5,"7,10",5,2,3,4,1,6,1,2,1,2,1,8,2:30,6,1,1,1,5,3,1,2,2,5
12/1/2023 8:34,12/1/2023 8:37,0,107.115.165.22,100,160,1,12/1/2023 8:37,R_31ypeB787wvzMdo,33.748501,-84.3871,EN,1,1,15,6,6,10,5,1,4,2,3,6,1,2,1,3,2,8,5,3,3,1,1,3,4,2,2,3,3
11/29/2023 18:56,11/29/2023 18:56,0,107.115.165.3,100,16,1,11/29/2023 18:56,R_3egJI8IfI0zQT9p,33.748501,-84.3871,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2023 12:00,11/29/2023 12:01,0,107.115.227.101,100,23,1,11/29/2023 12:01,R_2XnzVpT2Vfa7B80,25.9562,-80.1828,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/2023 11:57,12/2/2023 11:57,0,107.115.227.112,100,51,1,12/2/2023 11:57,R_qWMfZk9DaAWaiml,25.9562,-80.1828,ES,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 7:10,12/5/2023 6:55,0,107.115.227.121,100,344701,1,12/5/2023 6:55,R_UhVerQj7ybnETMR,25.9562,-80.1828,ES,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 7:09,12/1/2023 10:01,0,107.115.227.130,12,10295,0,12/8/2023 10:01,R_3flcnDch8Imjh3H,,,EN,1,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2023 18:38,11/27/2023 18:40,0,107.115.227.2,12,93,0,12/4/2023 18:40,R_3EuH6ovCzAQWARB,,,ES,1,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 10:38,12/5/2023 15:43,0,107.115.227.27,100,363864,1,12/5/2023 15:43,R_1M6SWO6UFy24Cst,25.9562,-80.1828,ES,1,1,50,5,7,1,1,2,3,4,5,6,1,1,1,4,1,7,7,4,3,2,3,9,1,1,2,1,5
11/29/2023 17:05,11/29/2023 17:10,0,107.115.227.40,12,287,0,12/6/2023 17:10,R_33CtAemqYu1svdx,,,ES,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2023 9:54,11/27/2023 9:55,0,107.115.227.48,4,29,0,12/4/2023 9:55,R_ByyiW3FNm3I3tEl,,,ES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/2023 12:48,12/10/2023 12:48,0,107.115.227.52,100,14,1,12/10/2023 12:48,R_TjRRzFnWW3FKqR3,25.8153,-80.357697,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 11:41,12/1/2023 11:56,0,107.115.227.53,100,872,1,12/1/2023 11:56,R_3nOtP4PP4q9k8CP,25.9562,-80.1828,ES,1,1,50,3,1,1,1,2,5,3,4,6,1,4,1,2,1,8am,7pm,4,2,3,3,2,2,1,2,2,3
12/1/2023 7:13,12/1/2023 7:13,0,107.115.227.55,100,15,1,12/1/2023 7:13,R_2CTWDeENVjwtuHY,25.9562,-80.1828,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2023 17:09,11/29/2023 17:16,0,107.115.227.84,100,445,1,11/29/2023 17:16,R_1M5tusSzAILu2ld,25.9562,-80.1828,EN,1,1,56,6,6,10,1,2,4,5,3,6,1,2,3,2,2,8,5,5,1,1,1,9,4,6,1,3,7
11/28/2023 8:04,11/28/2023 8:10,0,107.115.231.21,100,337,1,11/28/2023 8:10,R_3DcI1g2izmEgSc8,25.811899,-80.231796,EN,1,1,31,3,6,"2,11",2,1,3,4,5,6,1,2,2,1,2,5,7,4,2,1,1,9,3,4,2,2,5
11/30/2023 9:17,11/30/2023 9:19,0,107.115.231.27,20,133,0,12/7/2023 9:19,R_1eQabSMUAZmqTXt,,,ES,1,1,2,3,7,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 10:11,12/1/2023 10:11,0,107.115.231.5,4,9,0,12/8/2023 10:11,R_PMuBPjv7aRYanyp,,,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2023 13:32,11/27/2023 13:34,0,107.115.231.60,100,155,1,11/27/2023 13:34,R_3NweS0zaz9vPgI1,25.811899,-80.231796,ES,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2023 16:55,12/3/2023 16:56,0,107.115.231.65,32,106,0,12/10/2023 16:56,R_3JwruJTeSFW61Mi,,,EN,1,1,56,1,6,10,1,2,3,4,5,6,1,,,,,,,,,,,,,,,,
